Date,Account,classification,Daily_PnL,Trade_Count,Win_Rate,Avg_Trade_Size,Avg_Leverage,Leverage Segment,Frequency Segment,Performance Segment
2024-01-05,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,164.141565,66,0.19696969696969696,25817.31303030303,-0.13111681818181825,Low,Frequent,Winner
2024-01-06,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,135.58166400000002,22,0.45454545454545453,13569.154545454547,976.6085072727273,High,Infrequent,Winner
2024-01-07,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,-835.681235,97,0.09278350515463918,10812.887216494846,4503.752768350516,High,Frequent,Loser
2024-01-08,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,-269.874439,128,0.25,11894.159609375,2533.4020265625,High,Frequent,Loser
2024-01-09,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Greed,-826.349863,70,0.2571428571428571,12429.313857142857,2899.006581142857,High,Frequent,Loser
2024-01-10,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,-1517.091342,193,0.21243523316062177,10660.515440414507,138.77570626943006,High,Frequent,Loser
2024-01-11,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Extreme Greed,0.0,2,0.0,23066.935,0.016875,Low,Infrequent,Loser
2024-01-11,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Greed,-164.08950099999998,19,0.2631578947368421,13641.064736842105,64.7109347368421,High,Infrequent,Loser
2024-01-12,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,-1925.519024,7,0.0,28583.181428571428,0.3402285714285714,Low,Infrequent,Loser
2024-01-15,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Neutral,152.85358,9,1.0,69.98444444444445,0.23142222222222225,Low,Infrequent,Winner
2024-01-15,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Neutral,0.0,5,0.0,10001.248,0.040496,Low,Infrequent,Loser
2024-01-16,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Greed,-3238.8,6,0.0,10580.346666666666,214.36498666666662,High,Infrequent,Loser
2024-01-16,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,939.6285419999999,3,1.0,17648.416666666668,513.4527466666667,High,Infrequent,Winner
2024-01-17,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,813.2741110000001,53,0.20754716981132076,15110.019433962265,210.5591488679245,High,Frequent,Winner
2024-01-18,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,68.93319,46,0.06521739130434782,9231.120217391304,6.626629130434783,High,Frequent,Winner
2024-01-19,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Neutral,-0.20400000000000001,9,0.1111111111111111,169.64555555555555,-0.008955555555555557,Low,Infrequent,Loser
2024-01-19,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Neutral,-385.215235,39,0.1282051282051282,10946.209230769231,13.35487846153846,High,Frequent,Loser
2024-01-20,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Neutral,-146.57487000000003,106,0.14150943396226415,10095.193490566038,-657.2383409433962,Low,Frequent,Loser
2024-01-21,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,266.58114600000005,11,0.2727272727272727,9375.43090909091,9814.085519090908,High,Infrequent,Winner
2024-01-22,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Greed,1166.248788,48,0.2916666666666667,1125.4704166666668,2379.8395883333333,High,Frequent,Winner
2024-01-22,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,209.39217099999996,37,0.24324324324324326,7671.794864864864,-287.7131502702703,Low,Frequent,Winner
2024-01-23,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Neutral,-369.2447299999998,45,0.24444444444444444,9211.531777777778,-1896.9081931111111,Low,Frequent,Loser
2024-01-24,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Neutral,-2808.353815,68,0.14705882352941177,14192.42044117647,222.05514102941174,High,Frequent,Loser
2024-01-25,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Neutral,-3093.6293849999997,6,0.0,11094.355000000001,432.0683333333333,High,Infrequent,Loser
2024-01-26,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Neutral,90.2,2,0.5,4627.9,10000.0,High,Infrequent,Winner
2024-01-26,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Neutral,0.0,3,0.0,839.1366666666667,55922.333333333336,High,Infrequent,Loser
2024-01-28,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Neutral,-2478.06972,11,0.0,1646.2754545454545,703.7363636363635,High,Infrequent,Loser
2024-01-29,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Greed,1.71544,2,0.5,1034.4299999999998,2092.0,High,Infrequent,Winner
2024-01-29,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,484.847102,72,0.6111111111111112,5724.157222222222,6283.3177325,High,Frequent,Winner
2024-01-30,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,-173.65419100000003,49,0.10204081632653061,8183.905714285715,3.410568775510204,Low,Frequent,Loser
2024-01-31,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,-799.840817,859,0.2689173457508731,7340.683504074505,15.367925192083819,High,Frequent,Loser
2024-02-01,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,0.0,6,0.0,334.69666666666666,18562.666666666668,High,Infrequent,Loser
2024-02-02,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,456.423473,42,0.30952380952380953,11292.343571428572,3535.838899285714,High,Frequent,Winner
2024-02-03,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,223.30918699999998,56,0.10714285714285714,10782.5,2.58381125,Low,Frequent,Winner
2024-02-04,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,47.62389499999999,35,0.2571428571428571,5805.358,4095.2721137142858,High,Frequent,Winner
2024-02-05,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,-33.45419400000003,72,0.19444444444444445,10697.198055555556,551.6511123611111,High,Frequent,Loser
2024-02-06,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,-215.615907,1088,0.1645220588235294,7396.280707720588,116599.32741643384,High,Frequent,Loser
2024-02-07,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,241.24212,15,0.13333333333333333,450.582,14779.04,High,Infrequent,Winner
2024-02-08,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,770.756024,10,0.4,2605.112,562304.5599999999,High,Infrequent,Winner
2024-02-11,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,983.443176,34,0.20588235294117646,6244.465294117647,13413.987631470589,High,Frequent,Winner
2024-02-12,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,913.8817869999998,16,0.375,14202.981249999999,-32.87792375,Low,Infrequent,Winner
2024-02-13,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Greed,559.44389,14,1.0,142.85642857142858,63481.57142857143,High,Infrequent,Winner
2024-02-14,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Greed,3639.3031690000003,88,0.8977272727272727,2478.8488636363636,2795.5272727272727,High,Frequent,Winner
2024-02-14,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,191.29666400000002,23,0.17391304347826086,4465.268695652174,4751.735633913044,High,Infrequent,Winner
2024-02-15,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Greed,1024.70728,52,0.9423076923076923,1469.9592307692308,-3702.0538461538463,Low,Frequent,Winner
2024-02-15,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,816.0903969999999,11,0.7272727272727273,9886.378181818181,2062.1157563636366,High,Infrequent,Winner
2024-02-16,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Greed,5491.768834,170,0.8588235294117647,2730.2580588235296,-197119.9188235294,Low,Frequent,Winner
2024-02-16,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,0.0,12,0.0,8396.053333333333,1439.2591791666666,High,Infrequent,Loser
2024-02-17,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,1670.012358,64,0.84375,3161.86234375,7006.234375,High,Frequent,Winner
2024-02-17,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Greed,259.62944200000004,30,0.23333333333333334,6791.962666666667,1168.9325783333334,High,Frequent,Winner
2024-02-18,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Greed,477.6248299999999,97,0.6288659793814433,1619.0532989690723,26534.926907216497,High,Frequent,Winner
2024-02-19,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,4325.827543,95,0.8,2488.1485263157892,-15949.993679789473,Low,Frequent,Winner
2024-02-19,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Greed,-8.05898,6,0.16666666666666666,8333.848333333333,7040.733333333334,High,Infrequent,Loser
2024-02-20,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Greed,3053.31353,35,0.7714285714285715,3363.1262857142856,702.2371488571429,High,Frequent,Winner
2024-02-20,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,210.315294,4,1.0,427.575,30596.0,High,Infrequent,Winner
2024-02-21,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,1858.7985700000002,21,0.7142857142857143,4668.662857142857,14961.452857142858,High,Infrequent,Winner
2024-02-21,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Greed,0.0,1,0.0,10005.6,0.0,Low,Infrequent,Loser
2024-02-22,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Greed,3894.1050699999996,86,0.46511627906976744,4279.456162790698,9144.158141976744,High,Frequent,Winner
2024-02-22,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,0.0,2,0.0,2500.32,10187.1,High,Infrequent,Loser
2024-02-23,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,1418.55293,143,0.958041958041958,776.966013986014,-8744.50769083916,Low,Frequent,Winner
2024-02-25,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Greed,-30.7705,5,0.0,896.0260000000001,-1652.0,Low,Infrequent,Loser
2024-02-26,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Greed,4416.8473,37,0.918918918918919,5180.734324324325,-2991.9324324324325,Low,Frequent,Winner
2024-02-26,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,0.0,2,0.0,249.98499999999999,-225.0,Low,Infrequent,Loser
2024-02-27,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,312.130593,55,0.34545454545454546,3759.7450909090912,-5726.980363636363,Low,Frequent,Winner
2024-02-27,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Greed,576.38114,8,0.875,322.04,1763.375,High,Infrequent,Winner
2024-02-28,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,2503.747235,45,0.8666666666666667,3802.380666666667,1737.6555555555556,High,Frequent,Winner
2024-02-29,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,8493.192736,109,0.8899082568807339,3402.198532110092,-103291.26064220184,Low,Frequent,Winner
2024-02-29,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Greed,1320.804256,7,0.42857142857142855,3546.727142857143,-22293.899999999998,Low,Infrequent,Winner
2024-03-01,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,8244.241409,137,0.9343065693430657,3452.370072992701,375587.74525547447,High,Frequent,Winner
2024-03-02,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,1674.715167,24,0.875,2510.5745833333335,-10726.25,Low,Infrequent,Winner
2024-03-02,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Greed,-1443.814567,7,0.0,420.5385714285714,-13281.285714285714,Low,Infrequent,Loser
2024-03-03,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,8361.086245,79,0.6835443037974683,4946.1478481012655,-595760.485443038,Low,Frequent,Winner
2024-03-04,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,26773.771643,287,0.8815331010452961,5485.087665505226,191603.93494839722,High,Frequent,Winner
2024-03-04,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Greed,1026.004099,13,1.0,290.5161538461538,1468.716153846154,High,Infrequent,Winner
2024-03-05,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,19791.026041,180,0.9055555555555556,4676.724,1070451.832777778,High,Frequent,Winner
2024-03-06,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,6814.825139,82,0.8780487804878049,3990.4636585365856,97537.59146341463,High,Frequent,Winner
2024-03-08,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,4271.886236,67,0.8805970149253731,2740.047462686567,52491.09402985074,High,Frequent,Winner
2024-03-09,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,9949.501624,117,0.8290598290598291,5625.459401709401,501601.2582051282,High,Frequent,Winner
2024-03-10,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,2482.9272,42,0.6904761904761905,5237.472619047619,-2524.777380952381,Low,Frequent,Winner
2024-03-11,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,3588.179495,42,0.9285714285714286,4202.844047619047,19350.09047619048,High,Frequent,Winner
2024-03-12,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,3039.166,8,0.875,12880.10625,2253.35,High,Infrequent,Winner
2024-03-13,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,0.0,7,0.0,857.2571428571428,0.18407142857142858,Low,Infrequent,Loser
2024-03-14,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,65.480454,1,1.0,6066.28,1.5126,Low,Infrequent,Winner
2024-03-14,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,3400.385378,17,0.8823529411764706,11756.876470588235,64318.805882352935,High,Infrequent,Winner
2024-03-15,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,338.42832,8,0.125,3292.47625,0.813025,Low,Infrequent,Winner
2024-03-15,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,5509.2545,35,0.9142857142857143,7132.707714285714,-1301147.005714286,Low,Frequent,Winner
2024-03-15,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Greed,388.830831,19,0.42105263157894735,3995.254210526316,-820015.417368421,Low,Infrequent,Winner
2024-03-16,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,228.57984,6,0.16666666666666666,4537.276666666667,1.8217999999999999,Low,Infrequent,Winner
2024-03-16,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Greed,0.0,2,0.0,5000.0,-3782969.0,Low,Infrequent,Loser
2024-03-17,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,429.683075,14,0.2857142857142857,6218.810714285714,10.968107142857145,High,Infrequent,Winner
2024-03-17,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,73.61088,7,0.8571428571428571,705.8557142857143,-32.15857142857143,Low,Infrequent,Winner
2024-03-17,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Greed,0.0,2,0.0,3751.305,0.0,Low,Infrequent,Loser
2024-03-18,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,0.0,12,0.0,2833.491666666667,3.8174916666666667,Low,Infrequent,Loser
2024-03-18,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,1244.6384,6,0.8333333333333334,8540.285,4805.833333333333,High,Infrequent,Winner
2024-03-18,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Greed,212.3193,1,1.0,5214.47,366.7,High,Infrequent,Winner
2024-03-19,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,0.0,4,0.0,2266.8775,10.709025,High,Infrequent,Loser
2024-03-19,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,842.799493,10,0.5,18098.891,-55775.7,Low,Infrequent,Winner
2024-03-19,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Greed,-174.00152,10,0.0,2982.842,165.07999999999998,High,Infrequent,Loser
2024-03-20,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Greed,2593.147623,59,0.9491525423728814,2446.8210169491526,-1220.135593220339,Low,Frequent,Winner
2024-03-20,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,3829.986976,10,0.4,7134.341,206.68056,High,Infrequent,Winner
2024-03-21,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,0.0,1,0.0,9744.18,12.3082,High,Infrequent,Loser
2024-03-21,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,2097.182,23,0.9565217391304348,4256.877391304348,-25691.434782608696,Low,Infrequent,Winner
2024-03-21,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Greed,238.326075,4,0.25,2560.8025000000002,16953.75,High,Infrequent,Winner
2024-03-24,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Greed,1297.018477,19,0.7894736842105263,4873.274210526315,-2206.7,Low,Infrequent,Winner
2024-03-25,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,1302.916428,7,0.8571428571428571,8159.4742857142855,9.606714285714286,High,Infrequent,Winner
2024-03-26,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,20.599193,7,0.14285714285714285,3426.62,1.1050428571428572,Low,Infrequent,Winner
2024-03-26,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,3195.3074,111,0.9819819819819819,1572.7824324324324,3994.373873873874,High,Frequent,Winner
2024-03-27,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,189.192,27,0.4444444444444444,3224.6703703703706,1.1678296296296296,Low,Infrequent,Winner
2024-03-27,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,-38.78086,11,0.0,1163.5172727272727,-1462.8181381818183,Low,Infrequent,Loser
2024-03-28,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,0.0,3,0.0,6671.296666666666,9.939766666666666,High,Infrequent,Loser
2024-03-28,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,227.85100799999998,10,0.9,1530.983,-105887.2,Low,Infrequent,Winner
2024-03-29,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,883.097404,15,0.4,5794.291333333333,5.153553333333334,Low,Infrequent,Winner
2024-03-30,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,1100.57514,45,0.9777777777777777,2246.753777777778,148829.73333333334,High,Frequent,Winner
2024-03-31,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,912.786145,13,0.7692307692307693,3070.2276923076925,3.7070307692307694,Low,Infrequent,Winner
2024-04-01,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,0.840939,29,0.06896551724137931,4654.808275862069,8.427855172413793,High,Frequent,Winner
2024-04-01,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,2507.122467,48,0.8333333333333334,4260.021458333334,719824.0208333334,High,Frequent,Winner
2024-04-02,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,883.760812,37,0.32432432432432434,6072.016756756757,0.7231621621621621,Low,Frequent,Winner
2024-04-02,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Greed,0.0,4,0.0,3749.9725,4.699999999999999,Low,Infrequent,Loser
2024-04-03,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Greed,126.7884,2,0.5,3443.955,369.0,High,Infrequent,Winner
2024-04-03,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,0.0,2,0.0,4999.83,416.35,High,Infrequent,Loser
2024-04-04,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Greed,0.0,32,0.0,2999.6165625,-31.735753125,Low,Frequent,Loser
2024-04-05,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,4444.4983010000005,10,0.7,17253.157,-23.7471,Low,Infrequent,Winner
2024-04-05,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,5296.433789,82,0.9146341463414634,3723.111585365854,14358.509756097561,High,Frequent,Winner
2024-04-05,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Greed,965.5522159999999,8,1.0,3245.635,1691.1625000000001,High,Infrequent,Winner
2024-04-06,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,236.33513399999998,16,0.25,4263.979375,-4.198175,Low,Infrequent,Winner
2024-04-07,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,0.0,23,0.0,2173.397391304348,-21.564239130434782,Low,Infrequent,Loser
2024-04-08,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,0.0,28,0.0,5827.370357142857,-53.22314285714286,Low,Infrequent,Loser
2024-04-08,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,1218.4267,2,0.5,24387.135,-2861.5,Low,Infrequent,Winner
2024-04-09,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,0.0,3,0.0,19021.280000000002,-78.67283333333334,Low,Infrequent,Loser
2024-04-10,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,5207.443414,41,0.8780487804878049,8578.926097560974,-51.30644390243902,Low,Frequent,Winner
2024-04-11,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,389.743164,16,0.125,4775.06,6.13406875,High,Infrequent,Winner
2024-04-12,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,0.0,21,0.0,7138.52761904762,25.638514285714287,High,Infrequent,Loser
2024-04-12,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,2237.798674,93,0.7634408602150538,2815.611935483871,704306.8709677419,High,Frequent,Winner
2024-04-12,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Greed,-2830.444513,15,0.0,2021.84,-2850862.2666666666,Low,Infrequent,Loser
2024-04-13,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Greed,0.0,18,0.0,8677.150000000001,84.97236666666667,High,Infrequent,Loser
2024-04-13,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Greed,6621.451755,71,0.8591549295774648,4651.021830985916,342765.1112676056,High,Frequent,Winner
2024-04-14,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Greed,-36565.98544,64,0.046875,9199.4678125,34.6375265625,High,Frequent,Loser
